Bee Number,Wing Length (in pixels),Abdmen length (in pixels)),Body length (in pixels)),Could you see pollen baskets?,Could you see the stinger ?,What did the wings look like?,Notes about be (e.g. was the head missing?)
034,754,966,1745,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Nothing abnormal
035,864,608,1189,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
035,868,767,1189,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,The head was not missing. 
035,831,503,1245,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
035,735,518,1119,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
035,816,539,1207,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
036,705,932,1187,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The stinger and pollen basket are missing. I only see two legs.
036,715,462,1066,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,N/A
036,604,642,1459,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NO
036,679,532,1199,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
036,707,567,1206,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
037,868,556,1053,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
037,846,560,1302,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Middle body was missing
037,740,578,1141,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
037,838,954,1905,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,intact
037,8,4,4,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No abnormalities 
038,712,962,1244,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,Stinger is missing and was bigger than my other bees.
038,749,602,1236,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"This bee had slightly missing legs, and visible antennae"
038,706,583,1206,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
038,825,643,1483,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
038,739,644,1496,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
039,709,737,1271,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,4 legs
039,681,602,1289,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
039,724,540,1119,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Nothing seems abnormal observing bee number 039.
039,673,536,1258,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
039,694,550,1220,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,"Part of the bee's back leg is torn off, bee is intact"
040,729,587,1155,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,N/A
040,756,880,1192,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
040,2922,3220,4607,Could not tell (back legs missing),"Yes, I saw the stinger",Normal wings,It was hard to tell how many legs it had.
040,1058,790,1078,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,"No, head was attached"
040,841,782,1111,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
040,789,665,1262,"Yes, I did see pollen baskets","Yes, I saw the stinger",Normal wings,N/A
041,781,627,956,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,head was attached
041,823,574,1099,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
041,833,666,1287,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
041,858,799,1189,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
041,814,577,1144,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
042,706,750,1213,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
042,772,597,1486,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
042,728,563,1282,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee was flipped upside down could not fully tell if wings were deformed. Looks like a normal bee
042,,,,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,"it was upsidedown, the legs were in an odd position, it still had its antenas"
042,807,564,1344,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
043,766,962,1577,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,It looked like a normal bee
043,749,569,1216,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Completely normal bee.
043,761,552,983,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
043,750,551,1235,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
043,735,525,1114,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
044,798,559,1151,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
044,770,697,1298,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,couldn’t see the stinger or all of legs
044,800,827,2321,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
044,796,591,1208,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
044,727,673,1273,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
045,710,638,1371,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,
045,743,500,1049,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
045,714,716,1486,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
045,813,547,1169,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
045,715,933,1350,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,It was intact except I could not see stinger 
046,705,505,1217,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
046,663,576,3236,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
046,784,594,1177,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,Regular Bee
046,735,553,1239,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no
047,742,911,1321,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,The bee was far more curved than the previous bee
047,818,685,2217,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No tongue sticking out
047,723,602,1445,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
047,846,582,1262,"Yes, I did see pollen baskets","No, I did NOT see the stinger",Normal wings,no
048,498,754,1415,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,One of the wings were severely bent
048,569,480,1099,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Deformed wings,
048,630,642,1351,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
049,589,680,1268,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,Most normal looking bee out of the three
049,826,585,1295,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Intact
049,652,694,1203,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,No missing/separated parts for this bee (049)
050,793,698,1226,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,well kept and intact
050,784,566,1298,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
050,775,625,1199,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
050,774,533,1213,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
050,818,688,1301,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,n/a
051,634,333,1379,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
051,649,525,1034,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,
051,603,390,941,"No, I did NOT see pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,
051,685,721,1148,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Nothing notable about bess image.
052,860,868,1348,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,The bee's legs seem to be chopped in half and are now stubs. 
052,672,548,1102,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
052,790,576,1126,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
052,734,586,1320,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,This bee had longer wings than my other bees.
052,670,590,1257,"Yes, I saw pollen baskets","Could not tell (end of abdomen not visible, legs in the way, etc.)",Normal wings,N/A
053,852,786,1110,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
053,1135,579,1547,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,3rd bee was missing an antennae and maybe some legs (not really clear from picture).
053,786,579,1092,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,no mouth
053,642,797,1344,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,This bee was also fine.
053,1509,1163,1922,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,"One of the antennas was broken; Otherwise, the bee was intact."
054,747,578,1078,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,No notes
054,737,525,1063,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing abnormal
054,964,686,1529,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,Large back legs
054,765,888,1299,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
054,771,560,1112,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,3rd bee was a little smaller than the other two. That’s about it.
055,736,833,1245,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,The 3rd bee still have head.
055,763,610,1306,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
055,764,510,1705,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
056,821,579,1134,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee looked normal than my second bee, it was just ""fluffier"" than the rest."
056,2926,2067,4255,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,No missing body parts.
056,722,568,1106,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,no notes
056,836,554,1388,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Bee 56 fully intact
057,809,542,1308,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
057,707,486,927,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,N/A
057,826,567,1179,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
057,689,471,1054,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
057,725,533,1149,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
058,7797,886,1170,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
058,841,547,1234,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Everything was intact.
058,779,516,1041,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
058,732,420,1024,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
058,834,566,1359,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Nothing abnormal
